h_height,l_px, l_py, l_pz,r_px, r_py, r_pz,w_px, w_py, w_pz,h_rx, h_ry, h_rz, h_rw,l_rx, l_ry, l_rz, l_rw,r_rx, r_ry, r_rz, r_rw,w_rx, w_ry, w_rz, w_rw,timestamp,Curr_animation
1,-0.4476657,-0.1567121,-0.03429925,0.4476627,-0.156712,-0.03429918,-1.429117E-06,-0.4198699,-0.007687754,8.251249E-10,-5.684342E-14,9.585174E-13,1,0,0,0,1,0,0,0,1,-8.251249E-10,5.684342E-14,-9.094947E-13,1,0.02,0
0.6471235,-0.1406878,-0.3255309,0.1409597,0.1249118,-0.4793853,0.05920417,-0.05480668,-0.4043218,-0.04397769,0.2231016,-0.08304376,0.01964092,0.9710531,0.2288143,0.7929221,0.285204,0.4874204,0.2229257,-0.5223635,-0.5735705,0.5903037,-0.120474,-0.004459309,-0.06995632,0.9902387,0.04,0
0.6471154,-0.139957,-0.3248391,0.1408073,0.1245122,-0.4795377,0.05924537,-0.05514977,-0.4042283,-0.04395918,0.222959,-0.08365817,0.01997149,0.9710264,0.2247885,0.7959275,0.2854321,0.4842514,0.2227539,-0.5225936,-0.5737801,0.5899615,-0.1207634,-0.0042877,-0.07045817,0.9901688,0.3733333,1
0.6520459,-0.08322284,-0.3081782,0.1184589,0.1378796,-0.4768774,0.04196884,-0.04851103,-0.4043916,-0.05426776,0.1967074,-0.06591664,0.02332968,0.9779658,0.09138174,0.8582127,0.3355161,0.3775587,0.2345679,-0.5066655,-0.5741332,0.5988657,-0.110736,-0.01923199,-0.07121825,0.9911084,0.4282701,1
0.6630136,-0.06977974,-0.3115593,0.1210522,0.149506,-0.4741508,0.02670074,-0.04364217,-0.4048121,-0.05581629,0.1793765,-0.06024867,0.02415716,0.9816368,0.07346062,0.8569818,0.3482077,0.3727443,0.2545182,-0.4930075,-0.5745466,0.6017157,-0.1100157,-0.02715416,-0.07723189,0.9905527,0.453595,1
0.6695125,-0.06416841,-0.3147512,0.123763,0.155848,-0.4723372,0.0185189,-0.04152023,-0.4049258,-0.05626346,0.1709885,-0.05790505,0.02594315,0.9832278,0.06908754,0.8523027,0.3596106,0.3734813,0.2682833,-0.485983,-0.5744353,0.601556,-0.1099991,-0.03065753,-0.08165541,0.9900974,0.4657302,1
0.6728385,-0.0617719,-0.3166402,0.1254318,0.1588201,-0.4714036,0.01448606,-0.0407034,-0.4049411,-0.05640799,0.1670947,-0.05689713,0.02743125,0.9839156,0.06786852,0.848924,0.3664376,0.3747621,0.2754391,-0.4825621,-0.5744531,0.6010591,-0.1100587,-0.03217573,-0.08430869,0.9898204,0.4785922,1
0.6764618,-0.05938879,-0.318839,0.1274336,0.1619089,-0.4703659,0.0101751,-0.0399631,-0.4049329,-0.05652569,0.1631227,-0.0558904,0.02945101,0.9845813,0.0669601,0.8446279,0.3744504,0.3767074,0.283335,-0.4789066,-0.5745011,0.6002665,-0.1101391,-0.03365484,-0.08743173,0.9894913,0.4912076,1
0.6800746,-0.05714529,-0.3210979,0.1295956,0.1648663,-0.4693015,0.005941954,-0.03934832,-0.4049039,-0.05661548,0.1594333,-0.0549576,0.03185652,0.9851631,0.06619745,0.8398405,0.382884,0.3790613,0.2913307,-0.4753013,-0.57456,0.5992472,-0.1102136,-0.03495703,-0.09074136,0.9891399,0.5039012,1
0.6837385,-0.05503525,-0.3233681,0.1319369,0.1677582,-0.4681887,0.001710836,-0.03880474,-0.4048615,-0.05668771,0.1559894,-0.05412175,0.03452801,0.9856703,0.06529368,0.8345195,0.3916968,0.3819532,0.2995667,-0.4716673,-0.5746143,0.598004,-0.1102634,-0.03604016,-0.09410051,0.9887812,0.5166354,1
